COAL_MOISTURE,MILL_OUTLET_TEMP,AF_RATIO,MILL_INLET_TEMP
19,51.666666666666664,2.0,150.7191296884806
20,51.666666666666664,2.0,153.6411559222306
21,51.666666666666664,2.0,155.83267559754307
22,51.666666666666664,2.0,158.02419527285562
23,51.666666666666664,2.0,160.94622150660564
24,51.666666666666664,2.0,163.13774118191813
25,51.666666666666664,2.0,166.05976741566815
26,51.666666666666664,2.0,168.25128709098067
27,51.666666666666664,2.0,170.44280676629316
28,51.666666666666664,2.0,171.90381988316813
29,51.666666666666664,2.0,174.82584611691814
30,51.666666666666664,2.0,177.01736579223066
31,51.666666666666664,2.0,178.4783789091057
32,51.666666666666664,2.0,180.66989858441818
33,51.666666666666664,2.0,182.86141825973067
34,51.666666666666664,2.0,184.32243137660572
35,51.666666666666664,2.0,186.5139510519182
36,51.666666666666664,2.0,187.97496416879324
37,51.666666666666664,2.0,190.16648384410573
38,51.666666666666664,2.0,193.08851007785572
39,51.666666666666664,2.0,194.54952319473074
40,51.666666666666664,2.0,196.74104287004323
6,52.22222222222222,2.0,103.23620339004295
7,52.22222222222222,2.0,111.27177553285547
8,52.22222222222222,2.0,116.38532144191797
9,52.22222222222222,2.0,120.768360792543
10,52.22222222222222,2.0,125.151400143168
11,52.22222222222222,2.0,128.8039329353555
12,52.22222222222222,2.0,132.45646572754305
13,52.22222222222222,2.0,136.10899851973056
14,52.22222222222222,2.0,139.76153131191802
15,52.22222222222222,2.0,141.95305098723057
16,52.22222222222222,2.0,145.60558377941808
17,52.22222222222222,2.0,148.5276100131681
18,52.22222222222222,2.0,150.7191296884806
19,52.22222222222222,2.0,152.9106493637931
20,52.22222222222222,2.0,155.83267559754307
21,52.22222222222222,2.0,158.02419527285562
22,52.22222222222222,2.0,160.21571494816814
23,52.22222222222222,2.0,163.13774118191813
24,52.22222222222222,2.0,165.32926085723068
25,52.22222222222222,2.0,167.52078053254314
26,52.22222222222222,2.0,170.44280676629316
27,52.22222222222222,2.0,172.63432644160565
28,52.22222222222222,2.0,175.55635267535567
29,52.22222222222222,2.0,176.2868592337932
30,52.22222222222222,2.0,179.20888546754318
31,52.22222222222222,2.0,181.4004051428557
32,52.22222222222222,2.0,182.86141825973067
33,52.22222222222222,2.0,185.0529379350432
34,52.22222222222222,2.0,187.97496416879324
35,52.22222222222222,2.0,188.7054707272307
36,52.22222222222222,2.0,191.6274969609807
37,52.22222222222222,2.0,192.35800351941825
38,52.22222222222222,2.0,195.28002975316824
39,52.22222222222222,2.0,196.74104287004323
40,52.22222222222222,2.0,200.39357566223077
6,52.77777777777778,2.0,104.69721650691794
7,52.77777777777778,2.0,112.00228209129298
8,52.77777777777778,2.0,117.11582800035548
9,52.77777777777778,2.0,122.9598804678555
10,52.77777777777778,2.0,126.61241326004301
11,52.77777777777778,2.0,129.53443949379303
12,52.77777777777778,2.0,134.64798540285554
13,52.77777777777778,2.0,138.30051819504308
14,52.77777777777778,2.0,141.95305098723057
15,52.77777777777778,2.0,144.14457066254306
16,52.77777777777778,2.0,147.06659689629308
17,52.77777777777778,2.0,150.7191296884806
18,52.77777777777778,2.0,152.9106493637931
19,52.77777777777778,2.0,155.83267559754307
20,52.77777777777778,2.0,158.02419527285562
21,52.77777777777778,2.0,160.21571494816814
22,52.77777777777778,2.0,162.40723462348063
23,52.77777777777778,2.0,166.05976741566815
